TX-TYPE,Time,Cost
CERTIFICATE,10640.69,0.000057499138358545
RA_SIGNATURE,14943.83,0.000066729314319918
CERTIFICATE,10324.54,0.00005749907770535
RA_SIGNATURE,9917.9,0.000066727112077608
CERTIFICATE,9965.38,0.000057499646965242
RA_SIGNATURE,13800.74,0.00006673242108474
CERTIFICATE,10041.06,0.000057498269812446
RA_SIGNATURE,10656.61,0.000066724173578487
CERTIFICATE,14119.21,0.000057495288660078
RA_SIGNATURE,10099.66,0.000066721019118399
CERTIFICATE,10403.84,0.000061697922874497
RA_SIGNATURE,14810.8,0.000083537911846949
CERTIFICATE,10706.63,0.000057483373540822
RA_SIGNATURE,10100.04,0.000066709253753211
CERTIFICATE,14249.22,0.00005748523614878
RA_SIGNATURE,11234.77,0.000066711145088112
CERTIFICATE,11261.89,0.000057485196886838
RA_SIGNATURE,9905.13,0.00006671096976138
CERTIFICATE,13992.43,0.000057483254836588
RA_SIGNATURE,10084.26,0.000066709030686804
CERTIFICATE,10206.32,0.000057485280959437
RA_SIGNATURE,14432.68,0.000066716165969652
CERTIFICATE,10436.58,0.000057485149435758
RA_SIGNATURE,10231.83,0.000066713533004451
CERTIFICATE,10480.96,0.000057486816843749
RA_SIGNATURE,13835.87,0.000066712969765104
CERTIFICATE,10140.51,0.000057482958458673
RA_SIGNATURE,11103.72,0.000066711154724865
CERTIFICATE,14519.38,0.00005748287277886
RA_SIGNATURE,10326.42,0.000066716360791935
CERTIFICATE,9869.24,0.000061695145143684
RA_SIGNATURE,14280.56,0.000079334884021332
CERTIFICATE,10028.14,0.000057499021299792
RA_SIGNATURE,14004.06,0.000066738829880757
CERTIFICATE,10983.82,0.000057501508731326
RA_SIGNATURE,23123.39,0.000066730259165802
CERTIFICATE,10034.18,0.000057513594980606
RA_SIGNATURE,11110.32,0.000066747259286274
CERTIFICATE,10549.19,0.000057514862115777
RA_SIGNATURE,14387.89,0.00006675826978728
CERTIFICATE,10564.13,0.000057525284515897
RA_SIGNATURE,10040.34,0.000066759443561559
CERTIFICATE,14035.88,0.000057521659942191
RA_SIGNATURE,10091.03,0.000066765736183632
CERTIFICATE,10007.13,0.000057536074279217
RA_SIGNATURE,14876.01,0.000066762673072857
CERTIFICATE,10490.64,0.000057526475920675
RA_SIGNATURE,13872.43,0.000066759643757331
CERTIFICATE,9870.59,0.000057527534232827
RA_SIGNATURE,13919.83,0.000066779329911759
CERTIFICATE,10377.99,0.00006177300768288
RA_SIGNATURE,10680.89,0.000079461755109
