TX-TYPE,Time,Cost
CERTIFICATE,54.82,0.000057418500306232
RA_SIGNATURE,74.48,0.000066631500355368
CERTIFICATE,60.2,0.000061618500328632
RA_SIGNATURE,61.58,0.000083431500444968
CERTIFICATE,76.84,0.000057418500306232
RA_SIGNATURE,60.62,0.000066631500355368
CERTIFICATE,58.46,0.000057418500306232
RA_SIGNATURE,58.08,0.000066631500355368
CERTIFICATE,67.37,0.000057418500306232
RA_SIGNATURE,79.52,0.000066631500355368
CERTIFICATE,63.96,0.000057418500306232
RA_SIGNATURE,102.76,0.000066631500355368
CERTIFICATE,54.14,0.000057418500306232
RA_SIGNATURE,86.27,0.000066631500355368
CERTIFICATE,69.34,0.000057418500306232
RA_SIGNATURE,59.28,0.000066631500355368
CERTIFICATE,61.46,0.000057418500306232
RA_SIGNATURE,55.75,0.000066631500355368
CERTIFICATE,70.69,0.000057418500306232
RA_SIGNATURE,72.46,0.000066631500355368
CERTIFICATE,70.04,0.000057418500306232
RA_SIGNATURE,56.65,0.000066631500355368
CERTIFICATE,85.11,0.000061618500328632
RA_SIGNATURE,68.79,0.000083431500444968
CERTIFICATE,86.5,0.000057418500306232
RA_SIGNATURE,73.98,0.000066631500355368
CERTIFICATE,65.08,0.000057418500306232
RA_SIGNATURE,54.62,0.000066631500355368
CERTIFICATE,57.77,0.000057418500306232
RA_SIGNATURE,68.28,0.000066631500355368
CERTIFICATE,64.26,0.000057418500306232
RA_SIGNATURE,53.11,0.000066631500355368
CERTIFICATE,61.41,0.000057418500306232
RA_SIGNATURE,61.02,0.000066631500355368
CERTIFICATE,79.51,0.000057418500306232
RA_SIGNATURE,65.21,0.000066631500355368
CERTIFICATE,65.63,0.000057418500306232
RA_SIGNATURE,74.89,0.000066631500355368
CERTIFICATE,50.02,0.000057418500306232
RA_SIGNATURE,52.86,0.000066631500355368
CERTIFICATE,50.28,0.000057418500306232
RA_SIGNATURE,60.17,0.000066631500355368
CERTIFICATE,68.35,0.000061618500328632
RA_SIGNATURE,88.09,0.000083431500444968
CERTIFICATE,58.29,0.000057418500306232
RA_SIGNATURE,61.74,0.000066631500355368
CERTIFICATE,52.71,0.000057418500306232
RA_SIGNATURE,57.89,0.000066631500355368
CERTIFICATE,83.62,0.000057418500306232
RA_SIGNATURE,66.95,0.000066631500355368
CERTIFICATE,59.84,0.000057418500306232
RA_SIGNATURE,68.56,0.000066631500355368
CERTIFICATE,73.12,0.000057418500306232
RA_SIGNATURE,73.26,0.000066631500355368
CERTIFICATE,62.56,0.000057418500306232
RA_SIGNATURE,56.68,0.000066631500355368
CERTIFICATE,88.43,0.000057418500306232
RA_SIGNATURE,67.13,0.000066631500355368
CERTIFICATE,49.77,0.000057418500306232
RA_SIGNATURE,53.34,0.000066631500355368
CERTIFICATE,59.94,0.000057418500306232
RA_SIGNATURE,64.66,0.000066631500355368
CERTIFICATE,48.57,0.000061618500328632
